Number_of_Animals,YEAR,MONTH,OutcomeType,OutcomeSubtype,OBJECTID
41,2008,12,TRANSFER,RESCUE GRP,1353
3,2009,1,ADOPTION,3RD PARTY,1354
38,2009,1,ADOPTION,AAA,1355
3,2009,1,ADOPTION,BARKSTOWN,1356
29,2009,1,ADOPTION,FRIEND,1357
9,2009,1,ADOPTION,PROMO,1358
10,2009,1,ADOPTION,PRV ADOPT,1359
1,2009,1,ADOPTION,RADIO OTHR,1360
5,2009,1,ADOPTION,REFERRAL,1361
1,2009,1,ADOPTION,TV OTHER,1362
1,2009,1,ADOPTION,TV WLKY,1363
75,2009,1,ADOPTION,WALK IN,1364
14,2009,1,ADOPTION,WEB METRO,1365
27,2009,1,ADOPTION,WEB PF,1366
7,2009,1,DIED,,1367
1,2009,1,DIED,AT VET,1368
1,2009,1,DIED,ENROUTE,1369
1,2009,1,DIED,IN FOSTER,1370
4,2009,1,DIED,IN KENNEL,1371
1,2009,1,DISPOSAL,DEAD ARRIV,1372
1,2009,1,EUTH,,1373
14,2009,1,EUTH,BEHAV HIST,1374
135,2009,1,EUTH,BEHAV OBSV,1375
69,2009,1,EUTH,BREED,1376
91,2009,1,EUTH,CONTAG DIS,1377
1,2009,1,EUTH,FELV,1378
21,2009,1,EUTH,FERAL,1379
76,2009,1,EUTH,MEDICAL,1380
41,2009,1,EUTH,REQUESTED,1381
11,2009,1,EUTH,TIME/SPACE,1382
28,2009,1,EUTH,TOO OLD,1383
3,2009,1,MISSING,IN FOSTER,1384
91,2009,1,RELEASED,,1385
1,2009,1,RELOCATE,,1386
92,2009,1,RTO,,1387
6,2009,1,RTO,IN FIELD,1388
1,2009,1,TRANSFER,,1389
30,2009,1,TRANSFER,KHS,1390
28,2009,1,TRANSFER,RESCUE GRP,1391
4,2009,2,ADOPTION,3RD PARTY,1392
45,2009,2,ADOPTION,AAA,1393
2,2009,2,ADOPTION,BARKSTOWN,1394
16,2009,2,ADOPTION,FRIEND,1395
6,2009,2,ADOPTION,NEWSLETTER,1396
14,2009,2,ADOPTION,PROMO,1397
7,2009,2,ADOPTION,PRV ADOPT,1398
3,2009,2,ADOPTION,PS HURST,1399
1,2009,2,ADOPTION,TV METRO,1400
4,2009,2,ADOPTION,TV OTHER,1401
4,2009,2,ADOPTION,TV WHAS,1402
5,2009,2,ADOPTION,TV WLKY,1403
48,2009,2,ADOPTION,WALK IN,1404
33,2009,2,ADOPTION,WEB METRO,1405
50,2009,2,ADOPTION,WEB PF,1406
8,2009,2,DIED,,1407
3,2009,2,DIED,ENROUTE,1408
6,2009,2,DIED,IN FOSTER,1409
10,2009,2,DIED,IN KENNEL,1410
1,2009,2,DISPOSAL,DEAD ARRIV,1411
7,2009,2,EUTH,,1412
11,2009,2,EUTH,BEHAV HIST,1413
61,2009,2,EUTH,BEHAV OBSV,1414
38,2009,2,EUTH,BREED,1415
30,2009,2,EUTH,CONTAG DIS,1416
14,2009,2,EUTH,FERAL,1417
53,2009,2,EUTH,MEDICAL,1418
45,2009,2,EUTH,REQUESTED,1419
2,2009,2,EUTH,TIME/SPACE,1420
11,2009,2,EUTH,TOO OLD,1421
2,2009,2,MISSING,IN KENNEL,1422
116,2009,2,RELEASED,,1423
145,2009,2,RTO,,1424
10,2009,2,RTO,IN FIELD,1425
5,2009,2,TRANSFER,,1426
3,2009,2,TRANSFER,KHS,1427
28,2009,2,TRANSFER,RESCUE GRP,1428
2,2009,3,ADOPTION,,1429
1,2009,3,ADOPTION,3RD PARTY,1430
43,2009,3,ADOPTION,AAA,1431
2,2009,3,ADOPTION,BARKSTOWN,1432
1,2009,3,ADOPTION,EXCHANGE,1433
38,2009,3,ADOPTION,FRIEND,1434
2,2009,3,ADOPTION,NEWSLETTER,1435
8,2009,3,ADOPTION,PROMO,1436
2,2009,3,ADOPTION,PRV ADOPT,1437
33,2009,3,ADOPTION,PS HURST,1438
8,2009,3,ADOPTION,REFERRAL,1439
7,2009,3,ADOPTION,TV OTHER,1440
1,2009,3,ADOPTION,TV WLKY,1441
65,2009,3,ADOPTION,WALK IN,1442
19,2009,3,ADOPTION,WEB METRO,1443
23,2009,3,ADOPTION,WEB PF,1444
8,2009,3,DIED,,1445
1,2009,3,DIED,ENROUTE,1446
8,2009,3,DIED,IN FOSTER,1447
14,2009,3,DIED,IN KENNEL,1448
1,2009,3,DIED,IN SURGERY,1449
2,2009,3,DISPOSAL,DEAD ARRIV,1450
14,2009,3,EUTH,,1451
12,2009,3,EUTH,BEHAV HIST,1452
136,2009,3,EUTH,BEHAV OBSV,1453
58,2009,3,EUTH,BREED,1454
79,2009,3,EUTH,CONTAG DIS,1455
29,2009,3,EUTH,FERAL,1456
74,2009,3,EUTH,MEDICAL,1457
9,2009,3,EUTH,PREGNANT,1458
47,2009,3,EUTH,REQUESTED,1459
2,2009,3,EUTH,TIME/SPACE,1460
19,2009,3,EUTH,TOO OLD,1461
9,2009,3,EUTH,TOO YOUNG,1462
87,2009,3,RELEASED,,1463
1,2009,3,RELOCATE,,1464
160,2009,3,RTO,,1465
8,2009,3,RTO,IN FIELD,1466
2,2009,3,TRANSFER,,1467
2,2009,3,TRANSFER,KHS,1468
35,2009,3,TRANSFER,RESCUE GRP,1469
1,2009,3,TRANSFER,WILDLIFE,1470
4,2009,4,ADOPTION,3RD PARTY,1471
44,2009,4,ADOPTION,AAA,1472
1,2009,4,ADOPTION,BARKSTOWN,1473
42,2009,4,ADOPTION,FRIEND,1474
6,2009,4,ADOPTION,NEWSLETTER,1475
3,2009,4,ADOPTION,PROMO,1476
7,2009,4,ADOPTION,PRV ADOPT,1477
23,2009,4,ADOPTION,PS HURST,1478
4,2009,4,ADOPTION,REFERRAL,1479
1,2009,4,ADOPTION,TV METRO,1480
3,2009,4,ADOPTION,TV OTHER,1481
1,2009,4,ADOPTION,TV WLKY,1482
37,2009,4,ADOPTION,WALK IN,1483
36,2009,4,ADOPTION,WEB METRO,1484
23,2009,4,ADOPTION,WEB PF,1485
2,2009,4,ADOPTION,WEB PH,1486
6,2009,4,DIED,,1487
2,2009,4,DIED,ENROUTE,1488
2,2009,4,DIED,IN FOSTER,1489
22,2009,4,DIED,IN KENNEL,1490
1,2009,4,DISPOSAL,DEAD ARRIV,1491
36,2009,4,EUTH,,1492
9,2009,4,EUTH,BEHAV HIST,1493
154,2009,4,EUTH,BEHAV OBSV,1494
49,2009,4,EUTH,BREED,1495
82,2009,4,EUTH,CONTAG DIS,1496
19,2009,4,EUTH,FERAL,1497
67,2009,4,EUTH,MEDICAL,1498
6,2009,4,EUTH,PREGNANT,1499
51,2009,4,EUTH,REQUESTED,1500
2,2009,4,EUTH,TIME/SPACE,1501
9,2009,4,EUTH,TOO OLD,1502
29,2009,4,EUTH,TOO YOUNG,1503
1,2009,4,MISSING,IN KENNEL,1504
2,2009,4,MISSING,STOLEN,1505
86,2009,4,RELEASED,,1506
3,2009,4,RELEASED,IN SURGERY,1507
132,2009,4,RTO,,1508
4,2009,4,RTO,IN FIELD,1509
1,2009,4,TRANSFER,,1510
4,2009,4,TRANSFER,KHS,1511
18,2009,4,TRANSFER,RESCUE GRP,1512
8,2009,5,ADOPTION,,1513
8,2009,5,ADOPTION,3RD PARTY,1514
10,2009,5,ADOPTION,AAA,1515
2,2009,5,ADOPTION,BARKSTOWN,1516
30,2009,5,ADOPTION,FRIEND,1517
3,2009,5,ADOPTION,NEWSLETTER,1518
3,2009,5,ADOPTION,PROMO,1519
14,2009,5,ADOPTION,PRV ADOPT,1520
27,2009,5,ADOPTION,PS HURST,1521
1,2009,5,ADOPTION,REFERRAL,1522
2,2009,5,ADOPTION,TV METRO,1523
4,2009,5,ADOPTION,TV OTHER,1524
1,2009,5,ADOPTION,TV WHAS,1525
2,2009,5,ADOPTION,TV WLKY,1526
39,2009,5,ADOPTION,WALK IN,1527
34,2009,5,ADOPTION,WEB METRO,1528
31,2009,5,ADOPTION,WEB PF,1529
2,2009,5,DIED,,1530
2,2009,5,DIED,ENROUTE,1531
19,2009,5,DIED,IN FOSTER,1532
37,2009,5,DIED,IN KENNEL,1533
3,2009,5,DIED,IN SURGERY,1534
73,2009,5,EUTH,,1535
14,2009,5,EUTH,BEHAV HIST,1536
176,2009,5,EUTH,BEHAV OBSV,1537
79,2009,5,EUTH,BREED,1538
161,2009,5,EUTH,CONTAG DIS,1539
50,2009,5,EUTH,FERAL,1540
82,2009,5,EUTH,MEDICAL,1541
4,2009,5,EUTH,PREGNANT,1542
63,2009,5,EUTH,REQUESTED,1543
29,2009,5,EUTH,TIME/SPACE,1544
9,2009,5,EUTH,TOO OLD,1545
64,2009,5,EUTH,TOO YOUNG,1546
1,2009,5,FOSTER,,1547
67,2009,5,RELEASED,,1548
1,2009,5,RELEASED,IN SURGERY,1549
146,2009,5,RTO,,1550
3,2009,5,RTO,IN FIELD,1551
2,2009,5,TRANSFER,,1552
11,2009,5,TRANSFER,KHS,1553
35,2009,5,TRANSFER,RESCUE GRP,1554
2,2009,5,TRANSFER,WILDLIFE,1555
9,2009,6,ADOPTION,,1556
3,2009,6,ADOPTION,3RD PARTY,1557
1,2009,6,ADOPTION,AAA,1558
1,2009,6,ADOPTION,BARKSTOWN,1559
1,2009,6,ADOPTION,EXCHANGE,1560
35,2009,6,ADOPTION,FRIEND,1561
2,2009,6,ADOPTION,NEWSLETTER,1562
5,2009,6,ADOPTION,PROMO,1563
19,2009,6,ADOPTION,PRV ADOPT,1564
12,2009,6,ADOPTION,PS HURST,1565
5,2009,6,ADOPTION,REFERRAL,1566
3,2009,6,ADOPTION,TV METRO,1567
3,2009,6,ADOPTION,TV OTHER,1568
1,2009,6,ADOPTION,TV WHAS,1569
24,2009,6,ADOPTION,WALK IN,1570
41,2009,6,ADOPTION,WEB METRO,1571
30,2009,6,ADOPTION,WEB PF,1572
9,2009,6,DIED,,1573
1,2009,6,DIED,ENROUTE,1574
6,2009,6,DIED,IN FOSTER,1575
44,2009,6,DIED,IN KENNEL,1576
3,2009,6,DISPOSAL,DEAD ARRIV,1577
17,2009,6,EUTH,,1578
14,2009,6,EUTH,BEHAV HIST,1579
228,2009,6,EUTH,BEHAV OBSV,1580
71,2009,6,EUTH,BREED,1581
247,2009,6,EUTH,CONTAG DIS,1582
1,2009,6,EUTH,FELV,1583
61,2009,6,EUTH,FERAL,1584
110,2009,6,EUTH,MEDICAL,1585
1,2009,6,EUTH,PREGNANT,1586
90,2009,6,EUTH,REQUESTED,1587
144,2009,6,EUTH,TIME/SPACE,1588
32,2009,6,EUTH,TOO OLD,1589
143,2009,6,EUTH,TOO YOUNG,1590
1,2009,6,MISSING,IN FOSTER,1591
1,2009,6,MISSING,IN KENNEL,1592
97,2009,6,RELEASED,,1593
2,2009,6,RELOCATE,,1594
163,2009,6,RTO,,1595
2,2009,6,RTO,IN FIELD,1596
1,2009,6,TRANSFER,,1597
6,2009,6,TRANSFER,KHS,1598
53,2009,6,TRANSFER,RESCUE GRP,1599
2,2009,6,TRANSFER,WILDLIFE,1600
1,2009,7,,,1601
4,2009,7,ADOPTION,,1602
1,2009,7,ADOPTION,3RD PARTY,1603
3,2009,7,ADOPTION,AAA,1604
1,2009,7,ADOPTION,BARKSTOWN,1605
2,2009,7,ADOPTION,EXCHANGE,1606
39,2009,7,ADOPTION,FRIEND,1607
2,2009,7,ADOPTION,NEWSLETTER,1608
3,2009,7,ADOPTION,PROMO,1609
62,2009,7,ADOPTION,PRV ADOPT,1610
17,2009,7,ADOPTION,PS HURST,1611
8,2009,7,ADOPTION,REFERRAL,1612
1,2009,7,ADOPTION,TV AAL,1613
4,2009,7,ADOPTION,TV OTHER,1614
2,2009,7,ADOPTION,TV WLKY,1615
13,2009,7,ADOPTION,WALK IN,1616
34,2009,7,ADOPTION,WEB METRO,1617
18,2009,7,ADOPTION,WEB PF,1618
1,2009,7,DIED,,1619
1,2009,7,DIED,ENROUTE,1620
14,2009,7,DIED,IN FOSTER,1621
49,2009,7,DIED,IN KENNEL,1622
6,2009,7,EUTH,,1623
30,2009,7,EUTH,BEHAV HIST,1624
160,2009,7,EUTH,BEHAV OBSV,1625
63,2009,7,EUTH,BREED,1626
202,2009,7,EUTH,CONTAG DIS,1627
50,2009,7,EUTH,FERAL,1628
96,2009,7,EUTH,MEDICAL,1629
8,2009,7,EUTH,PREGNANT,1630
78,2009,7,EUTH,REQUESTED,1631
160,2009,7,EUTH,TIME/SPACE,1632
17,2009,7,EUTH,TOO OLD,1633
111,2009,7,EUTH,TOO YOUNG,1634
1,2009,7,MISSING,,1635
10,2009,7,MISSING,IN FOSTER,1636
1,2009,7,MISSING,IN KENNEL,1637
57,2009,7,RELEASED,,1638
2,2009,7,RELOCATE,,1639
112,2009,7,RTO,,1640
5,2009,7,RTO,IN FIELD,1641
2,2009,7,TRANSFER,,1642
12,2009,7,TRANSFER,KHS,1643
46,2009,7,TRANSFER,RESCUE GRP,1644
5,2009,7,TRANSFER,WILDLIFE,1645
1,2009,8,,,1646
6,2009,8,ADOPTION,,1647
3,2009,8,ADOPTION,3RD PARTY,1648
1,2009,8,ADOPTION,BARKSTOWN,1649
17,2009,8,ADOPTION,FRIEND,1650
139,2009,8,ADOPTION,PROMO,1651
43,2009,8,ADOPTION,PRV ADOPT,1652
5,2009,8,ADOPTION,PS HURST,1653
1,2009,8,ADOPTION,REFERRAL,1654
3,2009,8,ADOPTION,TV OTHER,1655
3,2009,8,ADOPTION,TV WHAS,1656
1,2009,8,ADOPTION,TV WLKY,1657
6,2009,8,ADOPTION,WALK IN,1658
8,2009,8,ADOPTION,WEB METRO,1659
9,2009,8,ADOPTION,WEB PF,1660
2,2009,8,DIED,,1661
2,2009,8,DIED,ENROUTE,1662
12,2009,8,DIED,IN FOSTER,1663
42,2009,8,DIED,IN KENNEL,1664
11,2009,8,EUTH,,1665
14,2009,8,EUTH,BEHAV HIST,1666
144,2009,8,EUTH,BEHAV OBSV,1667
57,2009,8,EUTH,BREED,1668
224,2009,8,EUTH,CONTAG DIS,1669
46,2009,8,EUTH,FERAL,1670
116,2009,8,EUTH,MEDICAL,1671
5,2009,8,EUTH,PREGNANT,1672
64,2009,8,EUTH,REQUESTED,1673
106,2009,8,EUTH,TIME/SPACE,1674
18,2009,8,EUTH,TOO OLD,1675
136,2009,8,EUTH,TOO YOUNG,1676
71,2009,8,MISSING,,1677
1,2009,8,MISSING,ENROUTE,1678
12,2009,8,MISSING,IN KENNEL,1679
32,2009,8,RELEASED,,1680
90,2009,8,RTO,,1681
8,2009,8,RTO,IN FIELD,1682
1,2009,8,TRANSFER,,1683
20,2009,8,TRANSFER,KHS,1684
86,2009,8,TRANSFER,RESCUE GRP,1685
4,2009,9,,,1686
48,2009,9,ADOPTION,,1687
3,2009,9,ADOPTION,3RD PARTY,1688
2,2009,9,ADOPTION,BARKSTOWN,1689
24,2009,9,ADOPTION,FRIEND,1690
1,2009,9,ADOPTION,NEWSLETTER,1691
35,2009,9,ADOPTION,PROMO,1692
5,2009,9,ADOPTION,PRV ADOPT,1693
21,2009,9,ADOPTION,PS HURST,1694
2,2009,9,ADOPTION,REFERRAL,1695
2,2009,9,ADOPTION,TV OTHER,1696
13,2009,9,ADOPTION,WALK IN,1697
14,2009,9,ADOPTION,WEB METRO,1698
7,2009,9,ADOPTION,WEB PF,1699
2,2009,9,DIED,ENROUTE,1700
6,2009,9,DIED,IN FOSTER,1701
53,2009,9,DIED,IN KENNEL,1702
1,2009,9,DIED,IN SURGERY,1703
4,2009,9,EUTH,,1704
13,2009,9,EUTH,BEHAV HIST,1705
143,2009,9,EUTH,BEHAV OBSV,1706
53,2009,9,EUTH,BREED,1707
176,2009,9,EUTH,CONTAG DIS,1708
53,2009,9,EUTH,FERAL,1709
93,2009,9,EUTH,MEDICAL,1710
49,2009,9,EUTH,REQUESTED,1711
82,2009,9,EUTH,TIME/SPACE,1712
18,2009,9,EUTH,TOO OLD,1713
180,2009,9,EUTH,TOO YOUNG,1714
1,2009,9,FOSTER,,1715
2,2009,9,MISSING,,1716
1,2009,9,MISSING,IN KENNEL,1717
48,2009,9,RELEASED,,1718
1,2009,9,RELEASED,MEDICAL,1719
3,2009,9,RELOCATE,,1720
91,2009,9,RTO,,1721
4,2009,9,RTO,IN FIELD,1722
6,2009,9,TRANSFER,,1723
11,2009,9,TRANSFER,KHS,1724
71,2009,9,TRANSFER,RESCUE GRP,1725
10,2009,10,ADOPTION,,1726
4,2009,10,ADOPTION,3RD PARTY,1727
2,2009,10,ADOPTION,BARKSTOWN,1728
77,2009,10,ADOPTION,FRIEND,1729
1,2009,10,ADOPTION,NEWSLETTER,1730
7,2009,10,ADOPTION,PROMO,1731
4,2009,10,ADOPTION,PRV ADOPT,1732
32,2009,10,ADOPTION,PS HURST,1733
1,2009,10,ADOPTION,RADIO WDJX,1734
4,2009,10,ADOPTION,REFERRAL,1735
3,2009,10,ADOPTION,TV METRO,1736
2,2009,10,ADOPTION,TV OTHER,1737
1,2009,10,ADOPTION,TV WHAS,1738
8,2009,10,ADOPTION,WALK IN,1739
18,2009,10,ADOPTION,WEB METRO,1740
22,2009,10,ADOPTION,WEB PF,1741
3,2009,10,DIED,,1742
5,2009,10,DIED,ENROUTE,1743
7,2009,10,DIED,IN FOSTER,1744
49,2009,10,DIED,IN KENNEL,1745
1,2009,10,DIED,IN SURGERY,1746
9,2009,10,EUTH,,1747
17,2009,10,EUTH,BEHAV HIST,1748
186,2009,10,EUTH,BEHAV OBSV,1749
50,2009,10,EUTH,BREED,1750
129,2009,10,EUTH,CONTAG DIS,1751
83,2009,10,EUTH,FERAL,1752
86,2009,10,EUTH,MEDICAL,1753
53,2009,10,EUTH,REQUESTED,1754
172,2009,10,EUTH,TIME/SPACE,1755
23,2009,10,EUTH,TOO OLD,1756
155,2009,10,EUTH,TOO YOUNG,1757
1,2009,10,MISSING,,1758
3,2009,10,MISSING,IN KENNEL,1759
66,2009,10,RELEASED,,1760
10,2009,10,RELEASED,IN SURGERY,1761
1,2009,10,RELOCATE,,1762
99,2009,10,RTO,,1763
5,2009,10,RTO,IN FIELD,1764
1,2009,10,TRANSFER,,1765
2,2009,10,TRANSFER,KHS,1766
102,2009,10,TRANSFER,RESCUE GRP,1767
3,2009,11,ADOPTION,,1768
1,2009,11,ADOPTION,3RD PARTY,1769
1,2009,11,ADOPTION,AAA,1770
2,2009,11,ADOPTION,EXCHANGE,1771
62,2009,11,ADOPTION,FRIEND,1772
1,2009,11,ADOPTION,NEWSLETTER,1773
1,2009,11,ADOPTION,PRV ADOPT,1774
40,2009,11,ADOPTION,PS HURST,1775
2,2009,11,ADOPTION,PS WEST,1776
1,2009,11,ADOPTION,REFERRAL,1777
1,2009,11,ADOPTION,TV AAL,1778
1,2009,11,ADOPTION,TV OTHER,1779
1,2009,11,ADOPTION,TV WHAS,1780
14,2009,11,ADOPTION,WALK IN,1781
18,2009,11,ADOPTION,WEB METRO,1782
19,2009,11,ADOPTION,WEB PF,1783
1,2009,11,DIED,,1784
6,2009,11,DIED,IN FOSTER,1785
14,2009,11,DIED,IN KENNEL,1786
1,2009,11,DIED,IN SURGERY,1787
2,2009,11,DISPOSAL,DEAD ARRIV,1788
9,2009,11,EUTH,,1789
9,2009,11,EUTH,BEHAV HIST,1790
121,2009,11,EUTH,BEHAV OBSV,1791
31,2009,11,EUTH,BREED,1792
124,2009,11,EUTH,CONTAG DIS,1793
46,2009,11,EUTH,FERAL,1794
62,2009,11,EUTH,MEDICAL,1795
50,2009,11,EUTH,REQUESTED,1796
101,2009,11,EUTH,TIME/SPACE,1797
8,2009,11,EUTH,TOO OLD,1798
57,2009,11,EUTH,TOO YOUNG,1799
1,2009,11,MISSING,ENROUTE,1800
1,2009,11,MISSING,IN KENNEL,1801
40,2009,11,RELEASED,,1802
15,2009,11,RELEASED,IN SURGERY,1803
84,2009,11,RTO,,1804
6,2009,11,RTO,IN FIELD,1805
5,2009,11,TRANSFER,KHS,1806
80,2009,11,TRANSFER,RESCUE GRP,1807
1,2009,12,,,1808
4,2009,12,ADOPTION,,1809
3,2009,12,ADOPTION,3RD PARTY,1810
10,2009,12,ADOPTION,AAA,1811
1,2009,12,ADOPTION,EXCHANGE,1812
65,2009,12,ADOPTION,FRIEND,1813
2,2009,12,ADOPTION,NEWSLETTER,1814
4,2009,12,ADOPTION,PRV ADOPT,1815
72,2009,12,ADOPTION,PS HURST,1816
4,2009,12,ADOPTION,REFERRAL,1817
2,2009,12,ADOPTION,TV METRO,1818
14,2009,12,ADOPTION,WALK IN,1819
16,2009,12,ADOPTION,WEB METRO,1820
22,2009,12,ADOPTION,WEB PF,1821
1,2009,12,DIED,,1822
2,2009,12,DIED,ENROUTE,1823
5,2009,12,DIED,IN FOSTER,1824
5,2009,12,DIED,IN KENNEL,1825
1,2009,12,DIED,IN SURGERY,1826
1,2009,12,DISPOSAL,,1827
3,2009,12,EUTH,,1828
7,2009,12,EUTH,BEHAV HIST,1829
120,2009,12,EUTH,BEHAV OBSV,1830
43,2009,12,EUTH,BREED,1831
84,2009,12,EUTH,CONTAG DIS,1832
41,2009,12,EUTH,FERAL,1833
58,2009,12,EUTH,MEDICAL,1834
47,2009,12,EUTH,REQUESTED,1835
77,2009,12,EUTH,TIME/SPACE,1836
19,2009,12,EUTH,TOO OLD,1837
11,2009,12,EUTH,TOO YOUNG,1838
65,2009,12,MISSING,,1839
56,2009,12,MISSING,AAA,1840
7,2009,12,MISSING,IN FOSTER,1841
29,2009,12,MISSING,STOLEN,1842
1,2009,12,NO SHOW,,1843
39,2009,12,RELEASED,,1844
17,2009,12,RELEASED,IN SURGERY,1845
67,2009,12,RTO,,1846
10,2009,12,TRANSFER,,1847
42,2009,12,TRANSFER,KHS,1848
1,2009,12,TRANSFER,RES WAGGIN,1849
71,2009,12,TRANSFER,RESCUE GRP,1850
1,2010,1,ADOPTION,,1851
49,2010,1,ADOPTION,FRIEND,1852
3,2010,1,ADOPTION,NEWSLETTER,1853
24,2010,1,ADOPTION,PROMO,1854
50,2010,1,ADOPTION,PS HURST,1855
3,2010,1,ADOPTION,REFERRAL,1856
3,2010,1,ADOPTION,TV METRO,1857
1,2010,1,ADOPTION,TV OTHER,1858
1,2010,1,ADOPTION,TV WHAS,1859
17,2010,1,ADOPTION,WALK IN,1860
21,2010,1,ADOPTION,WEB METRO,1861
13,2010,1,ADOPTION,WEB PF,1862
4,2010,1,DIED,,1863
1,2010,1,DIED,AT VET,1864
9,2010,1,DIED,IN FOSTER,1865
3,2010,1,DIED,IN KENNEL,1866
1,2010,1,DIED,IN SURGERY,1867
1,2010,1,DISPOSAL,DEAD ARRIV,1868
5,2010,1,EUTH,,1869
3,2010,1,EUTH,BEHAV HIST,1870
118,2010,1,EUTH,BEHAV OBSV,1871
40,2010,1,EUTH,BREED,1872
64,2010,1,EUTH,CONTAG DIS,1873
19,2010,1,EUTH,FERAL,1874
39,2010,1,EUTH,MEDICAL,1875
46,2010,1,EUTH,REQUESTED,1876
50,2010,1,EUTH,TIME/SPACE,1877
13,2010,1,EUTH,TOO OLD,1878
1,2010,1,FOSTER,,1879
15,2010,1,RELEASED,,1880
20,2010,1,RELEASED,IN SURGERY,1881
1,2010,1,RELEASED,MEDICAL,1882
75,2010,1,RTO,,1883
4,2010,1,RTO,IN FIELD,1884
9,2010,1,TRANSFER,KHS,1885
57,2010,1,TRANSFER,RESCUE GRP,1886
1,2010,2,,,1887
3,2010,2,ADOPTION,,1888
1,2010,2,ADOPTION,EXCHANGE,1889
58,2010,2,ADOPTION,FRIEND,1890
3,2010,2,ADOPTION,NEWSLETTER,1891
14,2010,2,ADOPTION,PROMO,1892
6,2010,2,ADOPTION,PRV ADOPT,1893
41,2010,2,ADOPTION,PS HURST,1894
1,2010,2,ADOPTION,RADIO WHAS,1895
5,2010,2,ADOPTION,REFERRAL,1896
1,2010,2,ADOPTION,TV METRO,1897
12,2010,2,ADOPTION,WALK IN,1898
22,2010,2,ADOPTION,WEB METRO,1899
23,2010,2,ADOPTION,WEB PF,1900
1,2010,2,ADOPTION,WEB PH,1901
3,2010,2,DIED,,1902
1,2010,2,DIED,ENROUTE,1903
6,2010,2,DIED,IN FOSTER,1904
6,2010,2,DIED,IN KENNEL,1905
1,2010,2,DISPOSAL,DEAD ARRIV,1906
6,2010,2,EUTH,,1907
23,2010,2,EUTH,BEHAV HIST,1908
99,2010,2,EUTH,BEHAV OBSV,1909
45,2010,2,EUTH,BREED,1910
65,2010,2,EUTH,CONTAG DIS,1911
26,2010,2,EUTH,FERAL,1912
38,2010,2,EUTH,MEDICAL,1913
31,2010,2,EUTH,REQUESTED,1914
42,2010,2,EUTH,TIME/SPACE,1915
10,2010,2,EUTH,TOO OLD,1916
9,2010,2,EUTH,TOO YOUNG,1917
3,2010,2,FOSTER,,1918
2,2010,2,MISSING,STOLEN,1919
36,2010,2,RELEASED,,1920
26,2010,2,RELEASED,IN SURGERY,1921
1,2010,2,RELEASED,MEDICAL,1922
63,2010,2,RTO,,1923
3,2010,2,RTO,IN FIELD,1924
4,2010,2,TRANSFER,,1925
41,2010,2,TRANSFER,KHS,1926
52,2010,2,TRANSFER,RESCUE GRP,1927
1,2010,2,TRANSFER,WILDLIFE,1928
2,2010,3,,,1929
2,2010,3,ADOPTION,,1930
2,2010,3,ADOPTION,3RD PARTY,1931
36,2010,3,ADOPTION,FRIEND,1932
1,2010,3,ADOPTION,NEWSLETTER,1933
6,2010,3,ADOPTION,PRV ADOPT,1934
26,2010,3,ADOPTION,PS HURST,1935
1,2010,3,ADOPTION,REFERRAL,1936
2,2010,3,ADOPTION,TV METRO,1937
3,2010,3,ADOPTION,TV OTHER,1938
1,2010,3,ADOPTION,TV WHAS,1939
51,2010,3,ADOPTION,WALK IN,1940
25,2010,3,ADOPTION,WEB METRO,1941
13,2010,3,ADOPTION,WEB PF,1942
1,2010,3,ADOPTION,WEB PH,1943
5,2010,3,DIED,,1944
6,2010,3,DIED,ENROUTE,1945
4,2010,3,DIED,IN FOSTER,1946
9,2010,3,DIED,IN KENNEL,1947
5,2010,3,DISPOSAL,DEAD ARRIV,1948
5,2010,3,EUTH,,1949
13,2010,3,EUTH,BEHAV HIST,1950
149,2010,3,EUTH,BEHAV OBSV,1951
44,2010,3,EUTH,BREED,1952
59,2010,3,EUTH,CONTAG DIS,1953
71,2010,3,EUTH,FERAL,1954
46,2010,3,EUTH,MEDICAL,1955
56,2010,3,EUTH,REQUESTED,1956
48,2010,3,EUTH,TIME/SPACE,1957
11,2010,3,EUTH,TOO OLD,1958
8,2010,3,EUTH,TOO YOUNG,1959
1,2010,3,FOSTER,,1960
29,2010,3,RELEASED,,1961
24,2010,3,RELEASED,IN SURGERY,1962
2,2010,3,RELEASED,MEDICAL,1963
90,2010,3,RTO,,1964
4,2010,3,RTO,IN FIELD,1965
6,2010,3,TRANSFER,,1966
2,2010,3,TRANSFER,AN CONTROL,1967
65,2010,3,TRANSFER,KHS,1968
78,2010,3,TRANSFER,RESCUE GRP,1969
4,2010,3,TRANSFER,WILDLIFE,1970
7,2010,4,,,1971
4,2010,4,ADOPTION,,1972
3,2010,4,ADOPTION,3RD PARTY,1973
50,2010,4,ADOPTION,FRIEND,1974
5,2010,4,ADOPTION,PROMO,1975
3,2010,4,ADOPTION,PRV ADOPT,1976
42,2010,4,ADOPTION,PS HURST,1977
1,2010,4,ADOPTION,TV METRO,1978
1,2010,4,ADOPTION,TV OTHER,1979
42,2010,4,ADOPTION,WALK IN,1980
9,2010,4,ADOPTION,WEB METRO,1981
15,2010,4,ADOPTION,WEB PF,1982
3,2010,4,DIED,,1983
7,2010,4,DIED,ENROUTE,1984
16,2010,4,DIED,IN FOSTER,1985
10,2010,4,DIED,IN KENNEL,1986
19,2010,4,EUTH,,1987
